cve,cwe,vuln-description,vuln-cvssv3-base-score,vuln-cvssv3-base-score-severity,vuln-cvssv3-impact-score,vuln-cvssv3-exploitability-score,vuln-cvssv3-av,vuln-cvssv3-ac,vuln-cvssv3-pr,vuln-cvssv3-ui,vuln-cvssv3-s,vuln-cvssv3-c,vuln-cvssv3-i,vuln-cvssv3-a,vuln-technical-details-0-link,vuln-cvssv2-base-score,vuln-cvssv2-base-score-severity,vuln-cvssv2-impact-subscore,vuln-cvssv2-exploitability-score,vuln-cvssv2-additional
CVE-2019-9892,CWE-91,"An issue was discovered in Open Ticket Request System (OTRS) 5.x through 5.0.34, 6.x through 6.0.17, and 7.x through 7.0.6. An attacker who is logged into OTRS as an agent user with appropriate permissions may try to import carefully crafted Report Statistics XML that will result in reading of arbitrary files on the OTRS filesystem.",6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,Partial,None,None,XML Injection (aka Blind XPath Injection),4.0,MEDIUM,2.9,8.0,Allows unauthorized disclosure of information
CVE-2019-9891,CWE-264,"The function getopt_simple as described in Advanced Bash Scripting Guide (ISBN 978-1435752184) allows privilege escalation and execution of commands when used in a shell script called, for example, via sudo.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,"Permissions, Privileges, and Access Control",10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9890,CWE-275,"An issue was discovered in GitLab Community and Enterprise Edition 10.x and 11.x before 11.6.10, 11.7.x before 11.7.6, and 11.8.x before 11.8.1. It has Insecure Permissions.",9.1,CRITICAL,5.2,3.9,Network,Low,None,None,Unchanged,Partial,High,None,Permission Issues,6.4,MEDIUM,4.9,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification
CVE-2019-9883,CWE-352,Multi modules of MailSherlock MSR35 and MSR45 lead to a CSRF vulnerability. It allows attacker to elevate privilege of specific account via useradmin/cf_new.cgi?chief=,8.8,HIGH,5.9,2.8,Network,Low,None,Required,Unchanged,Partial,High,High,Cross-Site Request Forgery (CSRF),6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9882,CWE-352,Multi modules of MailSherlock MSR35 and MSR45 lead to a CSRF vulnerability. It allows attacker to add malicious email sources into whitelist via user/save_list.php?ACSION=,8.8,HIGH,5.9,2.8,Network,Low,None,Required,Unchanged,Partial,High,High,Cross-Site Request Forgery (CSRF),6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9881,CWE-306,"The createComment mutation in the WPGraphQL 0.2.3 plugin for WordPress allows unauthenticated users to post comments on any article, even when 'allow comment' is disabled.",5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,None,Low,None,Missing Authentication for Critical Function,5.0,MEDIUM,2.9,10.0,Allows unauthorized modification
CVE-2019-9880,CWE-306,"An issue was discovered in the WPGraphQL 0.2.3 plugin for WordPress. By querying the 'users' RootQuery, it is possible, for an unauthenticated attacker, to retrieve all WordPress users details such as email address, role, and username.",9.1,CRITICAL,5.2,3.9,Network,Low,None,None,Unchanged,Partial,High,None,Missing Authentication for Critical Function,6.4,MEDIUM,4.9,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification
CVE-2019-9879,CWE-306,"The WPGraphQL 0.2.3 plugin for WordPress allows remote attackers to register a new user with admin privileges, whenever new user registrations are allowed. This is related to the registerUser mutation.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Partial,High,High,Missing Authentication for Critical Function,7.5,HIGH,6.4,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9878,CWE-119,"There is an invalid memory access in the function GfxIndexedColorSpace::mapColorToBase() located in GfxState.cc in Xpdf 4.0.0, as used in pdfalto 0.2. It can be triggered by (for example) sending a crafted pdf file to the pdftops binary. It allows an attacker to cause Denial of Service (Segmentation fault) or possibly have unspecified other impact.",7.8,HIGH,5.9,1.8,Local,Low,None,Required,Unchanged,Partial,High,High,Buffer Errors,6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9877,CWE-119,"There is an invalid memory access vulnerability in the function TextPage::findGaps() located at TextOutputDev.c in Xpdf 4.01, which can (for example) be triggered by sending a crafted pdf file to the pdftops binary. It allows an attacker to cause Denial of Service (Segmentation fault) or possibly have unspecified other impact.",7.8,HIGH,5.9,1.8,Local,Low,None,Required,Unchanged,Partial,High,High,Buffer Errors,6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
