RC,Tag #,Manufacturer,Model,Model Number,Description,Responsibility,Status,Department,EQ Class,Serial Number,Date Acquired,Date Disabled,Warranty Date,Location,Risk Name,Risk Level,Alarm,Facility Tag Number,Misc Note,Billing Code,MTBF,Device MTBF,Purchase Cost,Manufacture Date,AEM Eligible,Proc(Freq)(NDue),Site Number,Manufacturer REC FREQ,Alias,TeleTracking Field Number,IP Address 1,IP Address 2,Freq,MAC,Port,Functional ID
0,477600,Manufacturer_16,Model_31,21,Description_417858,Responsiblity_6,Running,Department_6,EQ_Class_27,7370355,5/30/2019,5/26/2019,5/14/2019,Location_207,Risk_Name_28,1,None,949,None,890162,354,245,700311,4/25/2019,True,1,26,1,None,583223,176.43.9.95,46.94.59.89,1,93:3e:36:f0:46:37,2032,299
0,641270,Manufacturer_6,Model_7,2,Description_922085,Responsiblity_12,Running,Department_13,EQ_Class_16,17743814,5/29/2019,5/11/2019,5/1/2019,Location_727,Risk_Name_23,1,None,191,None,406751,421,177,1029432,4/19/2019,True,1,16,1,None,628761,96.141.12.94,57.8.5.56,1,18:86:ad:36:84:7b,1997,59
0,569874,Manufacturer_14,Model_11,13,Description_352268,Responsiblity_11,Running,Department_23,EQ_Class_4,36147826,5/17/2019,5/19/2019,5/18/2019,Location_935,Risk_Name_27,1,None,943,None,53007,396,159,489769,4/23/2019,True,1,25,1,None,634424,188.226.126.45,55.58.71.166,1,06:2a:2d:b5:1c:c7,2016,776
0,703892,Manufacturer_32,Model_12,13,Description_1036440,Responsiblity_19,Running,Department_13,EQ_Class_11,6151315,5/24/2019,5/17/2019,5/27/2019,Location_280,Risk_Name_9,1,None,57,None,968821,839,590,849427,4/14/2019,True,1,27,1,None,834761,79.35.208.238,234.60.109.133,1,d9:02:81:d4:e7:ec,1296,186
0,797338,Manufacturer_32,Model_4,23,Description_175444,Responsiblity_20,Running,Department_10,EQ_Class_12,57542284,5/22/2019,5/16/2019,5/27/2019,Location_76,Risk_Name_22,1,None,810,None,835263,141,816,266510,4/14/2019,True,1,26,1,None,970432,121.242.150.234,178.27.197.50,1,a4:9b:6b:cb:e0:5c,1548,667
0,447455,Manufacturer_5,Model_22,7,Description_1006397,Responsiblity_11,Running,Department_12,EQ_Class_1,72193900,5/12/2019,5/9/2019,5/22/2019,Location_319,Risk_Name_18,1,None,931,None,166641,997,172,124085,4/27/2019,True,1,25,1,None,378590,186.59.117.151,128.156.172.173,1,c3:3f:f4:fc:df:c8,1563,112
0,17296,Manufacturer_2,Model_27,14,Description_447247,Responsiblity_9,Running,Department_22,EQ_Class_19,73046,5/7/2019,5/25/2019,5/27/2019,Location_272,Risk_Name_18,1,None,760,None,17816,422,660,476969,4/28/2019,True,1,26,1,None,567690,179.34.148.146,166.214.173.35,1,b6:8d:99:a5:c5:26,1761,391
0,325648,Manufacturer_28,Model_28,29,Description_585799,Responsiblity_13,Running,Department_19,EQ_Class_5,51502280,5/21/2019,5/30/2019,5/6/2019,Location_193,Risk_Name_6,1,None,759,None,174383,564,953,253821,4/2/2019,True,1,31,1,None,976606,253.38.177.89,16.246.217.254,1,c5:74:03:a9:65:96,1037,240
0,986085,Manufacturer_2,Model_4,17,Description_22969,Responsiblity_11,Running,Department_16,EQ_Class_5,15254074,5/31/2019,5/23/2019,5/5/2019,Location_89,Risk_Name_10,1,None,651,None,980460,982,131,341032,4/7/2019,True,1,19,1,None,73637,10.53.183.197,131.110.236.66,1,db:ef:75:db:16:0f,1685,903
0,248225,Manufacturer_12,Model_10,14,Description_445228,Responsiblity_17,Running,Department_32,EQ_Class_29,11172408,5/5/2019,5/27/2019,5/10/2019,Location_515,Risk_Name_21,1,None,293,None,140845,500,135,727084,4/9/2019,True,1,30,1,None,720823,195.239.136.246,211.58.92.229,1,82:b9:de:97:05:48,1927,794
0,546605,Manufacturer_2,Model_10,6,Description_1042416,Responsiblity_20,Running,Department_26,EQ_Class_14,20053335,5/29/2019,5/31/2019,5/5/2019,Location_846,Risk_Name_11,1,None,658,None,305741,723,700,1015259,4/4/2019,True,1,13,1,None,514758,183.239.86.139,104.101.169.99,1,ca:ba:c1:94:70:67,1241,960
0,432958,Manufacturer_23,Model_19,25,Description_615458,Responsiblity_2,Running,Department_8,EQ_Class_26,5231746,5/4/2019,5/4/2019,5/24/2019,Location_204,Risk_Name_7,1,None,216,None,394549,902,584,508274,4/20/2019,True,1,6,1,None,671379,146.186.131.13,242.145.224.3,1,65:9b:a2:98:6f:75,1860,401
0,849118,Manufacturer_31,Model_23,4,Description_175575,Responsiblity_31,Running,Department_23,EQ_Class_26,16045622,5/18/2019,5/14/2019,5/26/2019,Location_885,Risk_Name_13,1,None,851,None,1022681,758,940,385163,4/23/2019,True,1,8,1,None,919146,130.99.115.206,10.53.183.197,1,7a:29:d3:01:fa:2c,1044,622
0,620905,Manufacturer_20,Model_5,22,Description_226526,Responsiblity_19,Running,Department_8,EQ_Class_21,88863229,5/9/2019,5/30/2019,5/2/2019,Location_290,Risk_Name_25,1,None,341,None,803242,994,176,163624,4/1/2019,True,1,8,1,None,662670,63.154.190.134,95.178.148.164,1,13:a1:f4:9b:55:7d,1044,873
0,959903,Manufacturer_21,Model_11,22,Description_258561,Responsiblity_30,Running,Department_16,EQ_Class_13,80135886,5/21/2019,5/24/2019,5/17/2019,Location_586,Risk_Name_3,1,None,39,None,208922,874,117,688695,4/24/2019,True,1,20,1,None,1005738,111.91.163.177,221.211.143.185,1,88:9a:24:0c:9c:cd,1869,988
0,274690,Manufacturer_2,Model_28,29,Description_839936,Responsiblity_5,Running,Department_14,EQ_Class_23,65160889,5/10/2019,5/21/2019,5/2/2019,Location_465,Risk_Name_20,1,None,479,None,366,640,813,557288,4/1/2019,True,1,28,1,None,908815,81.76.13.67,9.31.250.100,1,f6:85:5d:8a:c3:2c,1871,24
0,77866,Manufacturer_17,Model_7,22,Description_817814,Responsiblity_16,Running,Department_9,EQ_Class_3,24919968,5/26/2019,5/12/2019,5/7/2019,Location_792,Risk_Name_6,1,None,449,None,69534,837,853,896289,4/22/2019,True,1,23,1,None,274120,252.110.175.110,117.231.231.95,1,fd:fc:43:d8:02:02,1080,159
0,113434,Manufacturer_7,Model_22,3,Description_666856,Responsiblity_6,Running,Department_28,EQ_Class_5,98781763,5/11/2019,5/21/2019,5/11/2019,Location_692,Risk_Name_14,1,None,128,None,857329,240,987,372852,4/2/2019,True,1,26,1,None,381064,247.50.215.8,240.233.172.229,1,6d:69:3a:03:b9:c4,1092,9
0,971969,Manufacturer_8,Model_7,22,Description_692532,Responsiblity_29,Running,Department_18,EQ_Class_10,96585389,5/4/2019,5/3/2019,5/25/2019,Location_392,Risk_Name_12,1,None,897,None,209585,680,883,293786,4/25/2019,True,1,26,1,None,195384,62.112.13.252,54.150.227.47,1,8e:97:38:6e:b7:7d,1363,204
0,952467,Manufacturer_14,Model_4,17,Description_19014,Responsiblity_15,Running,Department_29,EQ_Class_11,85589421,5/13/2019,5/31/2019,5/7/2019,Location_697,Risk_Name_18,1,None,108,None,70104,644,708,886317,4/30/2019,True,1,6,1,None,54750,243.61.233.161,6.10.113.87,1,8b:0a:63:3a:18:43,1455,255
0,180870,Manufacturer_24,Model_12,14,Description_451164,Responsiblity_28,Running,Department_12,EQ_Class_8,24642775,5/16/2019,5/2/2019,5/28/2019,Location_10,Risk_Name_5,1,None,74,None,918780,255,409,256793,4/11/2019,True,1,21,1,None,535583,141.170.253.54,243.61.233.161,1,36:4d:89:fa:04:86,1593,729
0,168340,Manufacturer_22,Model_11,3,Description_470976,Responsiblity_12,Running,Department_12,EQ_Class_4,99775990,5/24/2019,5/8/2019,5/18/2019,Location_6,Risk_Name_21,1,None,578,None,932519,380,744,52198,4/8/2019,True,1,16,1,None,611734,43.13.164.216,55.170.66.91,1,82:b9:de:97:05:48,1709,903
0,188169,Manufacturer_16,Model_27,21,Description_986559,Responsiblity_18,Running,Department_1,EQ_Class_12,10600999,5/4/2019,5/11/2019,5/9/2019,Location_408,Risk_Name_10,1,None,475,None,445602,99,670,357012,4/26/2019,True,1,7,1,None,116268,113.168.145.73,85.244.244.23,1,ac:03:ca:b3:a9:36,1970,528
0,794654,Manufacturer_26,Model_14,29,Description_414468,Responsiblity_5,Running,Department_12,EQ_Class_21,9033289,5/30/2019,5/29/2019,5/24/2019,Location_931,Risk_Name_17,1,None,360,None,102557,1008,775,91025,4/28/2019,True,1,28,1,None,365542,152.141.141.153,110.29.229.41,1,cc:12:cd:d6:ea:d8,1313,850
0,720145,Manufacturer_3,Model_9,27,Description_72476,Responsiblity_20,Running,Department_1,EQ_Class_32,92402743,5/11/2019,5/16/2019,5/14/2019,Location_848,Risk_Name_24,1,None,126,None,180321,847,54,193015,4/29/2019,True,1,26,1,None,629618,103.18.202.32,77.144.247.186,1,53:ea:e1:67:4b:e7,1180,762
